resnet type	size	time cost
resnet18	240m	22.411999225616455
resnet34	240m	11.417888879776001
resnet50	240m	13.111703872680664
resnet101	240m	22.282097816467285
resnet152	240m	31.878727674484253
resnet18	240	8.033376693725586
resnet34	240	13.447872877120972
resnet50	240	13.007788181304932
resnet101	240	21.26704430580139
resnet152	240	30.30527424812317
resnet18	360	8.542029619216919
resnet34	360	12.263291120529175
resnet50	360	14.052221298217773
resnet101	360	24.166199445724487
resnet152	360	31.169885873794556
resnet18	480	10.844250440597534
resnet34	480	15.146048069000244
resnet50	480	15.789270877838135
resnet101	480	25.15695309638977
resnet152	480	33.43803143501282
resnet18	720	16.582923650741577
resnet34	720	20.203996896743774
resnet50	720	22.047940254211426
resnet101	720	29.43091630935669
resnet152	720	37.877986669540405
resnet18	1280	19.651004791259766
resnet34	1280	24.38307762145996
resnet50	1280	25.22692584991455
resnet101	1280	35.535221099853516
resnet152	1280	44.75070548057556
