size	feature type	time cost
240	i3d	2.080346823
240	pwc	117.4224505
240	r21d	31.85087824
240	raft	272.1357975
240	resnet18	57.96730995
240	vggish	2.219076157
360	i3d	2.185458183
360	pwc	297.5567443
360	r21d	19.06740212
360	raft	487.0982237
360	resnet18	16.97927094
360	vggish	4.636451721
480	i3d	3.690431595
480	pwc	221.5704396
480	r21d	19.41002512
480	raft	557.2151012
480	resnet18	18.54935575
480	vggish	4.945002079
720	i3d	4.204116106
720	pwc	631.7889152
720	r21d	39.64222503
720	raft	987.0330949
720	resnet18	26.68404198
720	vggish	5.429394722
1280	i3d	4.852246523
1280	pwc	496.0636292
1280	r21d	66.7916522
1280	raft	1122.214749
1280	resnet18	47.7152071
1280	vggish	5.104295492
